Entity,Year,Annual CO₂ emissions (per capita)
World,1750,0.0123539
World,1760,0.013338744
World,1770,0.015818821
World,1780,0.01762452
World,1790,0.021648014
World,1800,0.033283014
World,1801,0.03234579
World,1802,0.040620856
World,1803,0.02966068
World,1804,0.031786837
World,1805,0.031156803
World,1806,0.032487053
World,1807,0.035828497
World,1808,0.035003528
World,1809,0.03569498
World,1810,0.038591582
World,1811,0.039050445
World,1812,0.039434556
World,1813,0.039552238
World,1814,0.040261544
World,1815,0.041276734
World,1816,0.04278712
World,1817,0.04601545
World,1818,0.047647983
World,1819,0.046889022
World,1820,0.046387978
World,1821,0.047293108
World,1822,0.04876858
World,1823,0.050545577
World,1824,0.05130573
World,1825,0.053751647
World,1826,0.053963613
World,1827,0.057403143
World,1828,0.05783071
World,1829,0.057139546
World,1830,0.076228514
World,1831,0.0709218
World,1832,0.06958086
World,1833,0.070235945
World,1834,0.07454026
World,1835,0.08141035
World,1836,0.088926375
World,1837,0.0879299
World,1838,0.08721902
World,1839,0.08993344
World,1840,0.09699291
World,1841,0.09928016
World,1842,0.10467969
World,1843,0.10661909
World,1844,0.1138401
World,1845,0.12379096
World,1846,0.12531695
World,1847,0.13509953
World,1848,0.13671392
World,1849,0.14510882
World,1850,0.1538383
World,1851,0.1549789
World,1852,0.16156647
World,1853,0.16887185
World,1854,0.19800751
World,1855,0.20178925
World,1856,0.21542522
World,1857,0.217367
World,1858,0.22038819
World,1859,0.23308483
World,1860,0.2554279
World,1861,0.2677561
World,1862,0.2722301
World,1863,0.2893712
World,1864,0.31129166
World,1865,0.3295257
World,1866,0.33923504
World,1867,0.36206326
World,1868,0.371162
World,1869,0.3924192
World,1870,0.39930218
World,1871,0.42247775
World,1872,0.46554372
World,1873,0.49206236
World,1874,0.4589173
World,1875,0.49448156
World,1876,0.49869007
World,1877,0.5056472
World,1878,0.50690883
World,1879,0.5395889
World,1880,0.60562533
World,1881,0.6226502
World,1882,0.653129
World,1883,0.68962353
World,1884,0.6927842
World,1885,0.69294935
World,1886,0.69830614
World,1887,0.7274379
World,1888,0.800022
World,1889,0.79470015
World,1890,0.85810107
World,1891,0.89287615
World,1892,0.8940004
World,1893,0.8771024
World,1894,0.9027549
World,1895,0.9500267
World,1896,0.97498775
World,1897,1.0142106
World,1898,1.0625755
World,1899,1.1523446
World,1900,1.2042735
World,1901,1.2330921
World,1902,1.2539401
World,1903,1.3557136
World,1904,1.3595014
World,1905,1.4362082
World,1906,1.4868535
World,1907,1.6803888
World,1908,1.6001804
World,1909,1.6529572
World,1910,1.7205409
World,1911,1.7342392
World,1912,1.8093246
World,1913,1.9469334
World,1914,1.7542988
World,1915,1.7155452
World,1916,1.84069
World,1917,1.912588
World,1918,1.8733435
World,1919,1.6120633
World,1920,1.8652642
World,1921,1.6244996
World,1922,1.6877795
World,1923,1.8974284
World,1924,1.8870265
World,1925,1.889568
World,1926,1.8412153
World,1927,1.9913644
World,1928,1.9653742
World,1929,2.0895422
World,1930,1.9104489
World,1931,1.6917222
World,1932,1.5108023
World,1933,1.5751134
World,1934,1.6951439
World,1935,1.760233
World,1936,1.9111879
World,1937,2.0212624
World,1938,1.8814144
World,1939,1.9686531
World,1940,2.1312144
World,1941,2.1621592
World,1942,2.1373942
World,1943,2.1606097
World,1944,2.1811128
World,1945,1.7987117
World,1946,1.9183986
World,1947,2.1332552
World,1948,2.2310166
World,1949,2.1086829
World,1950,2.3786695
World,1951,2.5154169
World,1952,2.5028036
World,1953,2.5249116
World,1954,2.5278463
World,1955,2.7165384
World,1956,2.835367
World,1957,2.86952
World,1958,2.8912628
World,1959,2.985448
World,1960,3.1129503
World,1961,3.0719225
World,1962,3.1207554
World,1963,3.2155936
World,1964,3.315824
World,1965,3.3919587
World,1966,3.4848719
World,1967,3.5231543
World,1968,3.6402264
World,1969,3.8021321
World,1970,4.0325847
World,1971,4.112594
World,1972,4.2197514
World,1973,4.3575473
World,1974,4.256582
World,1975,4.1891084
World,1976,4.340744
World,1977,4.385783
World,1978,4.442884
World,1979,4.4886904
World,1980,4.3818007
World,1981,4.2004504
World,1982,4.091141
World,1983,4.043131
World,1984,4.1085486
World,1985,4.1717267
World,1986,4.157858
World,1987,4.208147
World,1988,4.295053
World,1989,4.2768035
World,1990,4.266109
World,1991,4.278877
World,1992,4.091575
World,1993,4.069678
World,1994,4.051227
World,1995,4.0862265
World,1996,4.152334
World,1997,4.118613
World,1998,4.0458646
World,1999,4.081738
World,2000,4.1334705
World,2001,4.1097608
World,2002,4.146101
World,2003,4.3096466
World,2004,4.4027133
World,2005,4.4959054
World,2006,4.5909643
World,2007,4.666746
World,2008,4.6861563
World,2009,4.549688
World,2010,4.750381
World,2011,4.852329
World,2012,4.8603024
World,2013,4.8412857
World,2014,4.802484
World,2015,4.7392993
World,2016,4.685639
World,2017,4.707258
World,2018,4.751732
World,2019,4.7500806
World,2020,4.453724
World,2021,4.650446
World,2022,4.649288
World,2023,4.6703916
